epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,93735.6,1.20439,0.53583,1.35267,0.96316,0.89121,0.95506,0.63561,1.25399,0.57048,1.62412,0.001486,0.001486,0.001486
88,94847,1.19855,0.53477,1.35698,0.96255,0.89244,0.95488,0.63564,1.25431,0.57073,1.62424,0.001387,0.001387,0.001387
89,95943.4,1.19535,0.5352,1.34834,0.96314,0.89232,0.95509,0.63614,1.2544,0.57072,1.62415,0.001288,0.001288,0.001288
90,97031.5,1.19054,0.52757,1.34239,0.96257,0.89207,0.95492,0.63628,1.25426,0.57058,1.62399,0.001189,0.001189,0.001189
91,98067,1.16102,0.49172,1.39767,0.96275,0.89232,0.95478,0.63629,1.25351,0.57046,1.62309,0.00109,0.00109,0.00109
92,99095.6,1.14857,0.48688,1.38984,0.96288,0.89256,0.95483,0.63651,1.25278,0.57033,1.62227,0.000991,0.000991,0.000991
93,100132,1.13927,0.48567,1.38532,0.96204,0.89244,0.95441,0.63672,1.25261,0.57018,1.62198,0.000892,0.000892,0.000892
94,101200,1.13788,0.48213,1.38219,0.96196,0.89195,0.95428,0.63719,1.25217,0.57008,1.62156,0.000793,0.000793,0.000793
95,102278,1.13787,0.47951,1.37825,0.96193,0.89182,0.95417,0.63692,1.25234,0.5701,1.62155,0.000694,0.000694,0.000694
96,103333,1.13373,0.48091,1.37893,0.96101,0.89171,0.95417,0.63676,1.2525,0.57014,1.62151,0.000595,0.000595,0.000595
97,104379,1.12865,0.47651,1.3779,0.96131,0.89087,0.954,0.63677,1.2524,0.57017,1.62133,0.000496,0.000496,0.000496
98,105407,1.12303,0.47574,1.3724,0.96162,0.89075,0.95399,0.63688,1.25244,0.57003,1.62129,0.000397,0.000397,0.000397
99,106429,1.1244,0.47005,1.37127,0.96123,0.89051,0.95387,0.63705,1.25258,0.56996,1.62142,0.000298,0.000298,0.000298
100,107449,1.12346,0.47177,1.36861,0.96146,0.88979,0.95373,0.63679,1.25275,0.56997,1.6215,0.000199,0.000199,0.000199
